,Batch,Classifier,FPS,Memory,Method,Run,Time
62,7.0,NN,0.350985406950504,208.0,CA-LBF II,1.0,0.001126059871205669
63,8.0,NN,0.3768486916951081,208.0,CA-LBF II,1.0,0.0012773218373003225
64,9.0,NN,0.38659308116839414,272.0,CA-LBF II,1.0,0.001249063039767767
65,10.0,NN,0.41381074168797954,272.0,CA-LBF II,1.0,0.0017034164833179878
66,0.0,NN,0.025700334104343355,15104.0,IA-LBF,1.0,0.001169137717036072
67,1.0,NN,0.030650444548432382,16928.0,IA-LBF,1.0,2.362767690444883e-05
68,2.0,NN,0.03364045425326762,19504.0,IA-LBF,1.0,2.163277622080443e-05
69,3.0,NN,0.03771721958925751,21024.0,IA-LBF,1.0,2.0559892614847397e-05
70,4.0,NN,0.04,22864.0,IA-LBF,1.0,1.7317498867937144e-05
71,5.0,NN,0.042008196721311473,25232.0,IA-LBF,1.0,2.441069891838612e-05
72,6.0,NN,0.04323458767013611,26688.0,IA-LBF,1.0,2.2259670582729666e-05
73,7.0,NN,0.04528358658041222,28144.0,IA-LBF,1.0,1.9206326617520467e-05
74,8.0,NN,0.046359499431171784,30784.0,IA-LBF,1.0,2.387110260073212e-05
75,9.0,NN,0.04697805895813703,33024.0,IA-LBF,1.0,2.0306224386806053e-05
76,10.0,NN,0.04872122762148338,35600.0,IA-LBF,1.0,2.1967719349692618e-05
77,0.0,NN,0.03109740426625546,144.0,LBF,1.0,3.126576186959493e-05
78,1.0,NN,0.03673373888628919,144.0,LBF,1.0,2.36256983270289e-05
79,2.0,NN,0.04049710734947504,144.0,LBF,1.0,2.0542085418068026e-05
80,3.0,NN,0.045023696682464455,144.0,LBF,1.0,1.9658650600069292e-05
81,4.0,NN,0.046027397260273974,144.0,LBF,1.0,1.687677074764774e-05
82,5.0,NN,0.047984972677595626,144.0,LBF,1.0,2.3593546443955036e-05
83,6.0,NN,0.0488390712570056,144.0,LBF,1.0,2.1727318079704554e-05
84,7.0,NN,0.05205355799608846,144.0,LBF,1.0,1.8642251060311364e-05
85,8.0,NN,0.05446530147895336,144.0,LBF,1.0,2.2294367673243407e-05
86,9.0,NN,0.056265984654731455,144.0,LBF,1.0,1.971885221168058e-05
87,10.0,NN,0.05805626598465473,144.0,LBF,1.0,2.201084287647398e-05
88,0.0,LR,0.0020560267283474686,144.0,CA-LBF I,1.0,2.5256425297025086e-05
89,1.0,LR,0.0053813757604117924,176.0,CA-LBF I,1.0,6.15208970065928e-05
90,2.0,LR,0.010284979644311121,176.0,CA-LBF I,1.0,6.823371554806025e-05
91,3.0,LR,0.017772511848341232,176.0,CA-LBF I,1.0,7.44602986885799e-05
92,4.0,LR,0.014794520547945205,176.0,CA-LBF I,1.0,7.36208872181746e-05
93,5.0,LR,0.021687158469945355,208.0,CA-LBF I,1.0,9.845005526087591e-05
94,6.0,LR,0.020496397117694156,208.0,CA-LBF I,1.0,0.00010429945408430516
95,7.0,LR,0.01399127425906424,208.0,CA-LBF I,1.0,0.00010464146826222632
96,8.0,LR,0.01962457337883959,208.0,CA-LBF I,1.0,0.0001246136092346572
97,9.0,LR,0.017768205680441514,272.0,CA-LBF I,1.0,0.00012267552889310397
98,10.0,LR,0.020076726342710998,272.0,CA-LBF I,1.0,0.00013642945557275086
99,0.0,LR,0.0020560267283474686,144.0,CA-LBF II,1.0,2.5401506592303916e-05
100,1.0,LR,0.005147402901263453,176.0,CA-LBF II,1.0,6.023581097234829e-05
101,2.0,LR,0.011784872509106493,176.0,CA-LBF II,1.0,6.194282864139287e-05
102,3.0,LR,0.025078988941548183,176.0,CA-LBF II,1.0,7.58670672341501e-05
103,4.0,LR,0.03433789954337899,176.0,CA-LBF II,1.0,7.468783509187185e-05
104,5.0,LR,0.04371584699453552,208.0,CA-LBF II,1.0,0.0001224689958501159
105,6.0,LR,0.05204163330664532,208.0,CA-LBF II,1.0,9.706064965769556e-05
106,7.0,LR,0.05340755227922371,208.0,CA-LBF II,1.0,9.60767393052702e-05
107,8.0,LR,0.059726962457337884,208.0,CA-LBF II,1.0,0.00011485480469130676
108,9.0,LR,0.06151568178758918,272.0,CA-LBF II,1.0,0.0001168345215414765
109,10.0,LR,0.06739130434782609,272.0,CA-LBF II,1.0,0.0001252014770825043
110,0.0,LR,0.0,28992.0,IA-LBF,1.0,3.027643617687443e-05
111,1.0,LR,0.0,32496.0,IA-LBF,1.0,9.90376927545951e-06
112,2.0,LR,0.00021427040925648167,35072.0,IA-LBF,1.0,8.996591528421616e-06
113,3.0,LR,0.0,38736.0,IA-LBF,1.0,8.560315207327054e-06
114,4.0,LR,0.0,40640.0,IA-LBF,1.0,7.217355783549582e-06
115,5.0,LR,0.0,45136.0,IA-LBF,1.0,1.0132294967461423e-05
116,6.0,LR,0.0001601281024819856,47184.0,IA-LBF,1.0,9.459913892210645e-06
117,7.0,LR,0.00015044380923724988,49600.0,IA-LBF,1.0,8.191487397572602e-06
118,8.0,LR,0.0001422070534698521,51696.0,IA-LBF,1.0,9.661652689911967e-06
119,9.0,LR,0.00013460761879122358,54576.0,IA-LBF,1.0,8.462124703579782e-06
120,10.0,LR,0.0002557544757033248,57152.0,IA-LBF,1.0,9.186302549873717e-06
121,0.0,LR,0.0020560267283474686,144.0,LBF,1.0,1.0539339091299975e-05
122,1.0,LR,0.0030416471689284044,144.0,LBF,1.0,9.437319648711018e-06
123,2.0,LR,0.004285408185129634,144.0,LBF,1.0,8.6325332831545e-06
124,3.0,LR,0.006714060031595577,144.0,LBF,1.0,8.173008677375761e-06
125,4.0,LR,0.007123287671232876,144.0,LBF,1.0,6.859727914897238e-06
126,5.0,LR,0.007855191256830601,144.0,LBF,1.0,1.7307605980837492e-05
127,6.0,LR,0.010728582866293034,144.0,LBF,1.0,8.860149899044552e-06
128,7.0,LR,0.011584173311268242,144.0,LBF,1.0,7.5406691140791485e-06
129,8.0,LR,0.01350967007963595,144.0,LBF,1.0,9.150614113916726e-06
130,9.0,LR,0.0142684075918697,144.0,LBF,1.0,8.134485034585743e-06
131,10.0,LR,0.017263427109974423,144.0,LBF,1.0,8.454689612755408e-06
132,0.0,SVM,0.0028154594317890964,144.0,CA-LBF I,2.0,2.1252379610531054e-05
133,1.0,SVM,0.004438215370240598,176.0,CA-LBF I,2.0,2.437706310224731e-05
134,2.0,SVM,0.017585245550075058,176.0,CA-LBF I,2.0,3.0571989004048073e-05
135,3.0,SVM,0.023578363384188627,176.0,CA-LBF I,2.0,3.819742638045822e-05
136,4.0,SVM,0.019863895530623506,176.0,CA-LBF I,2.0,4.642187807075216e-05
137,5.0,SVM,0.02088683444615648,208.0,CA-LBF I,2.0,4.463274943878047e-05
138,6.0,SVM,0.016509055938451676,208.0,CA-LBF I,2.0,6.294300055553413e-05
139,7.0,SVM,0.031193490054249547,208.0,CA-LBF I,2.0,6.358142702098696e-05
140,8.0,SVM,0.01235971018610598,208.0,CA-LBF I,2.0,7.226710012201955e-05
141,9.0,SVM,0.0635861511518254,272.0,CA-LBF I,2.0,7.564758808350117e-05
142,10.0,SVM,0.0159846547314578,272.0,CA-LBF I,2.0,9.655803751796793e-05
143,0.0,SVM,0.0028154594317890964,144.0,CA-LBF II,2.0,3.1156629045432975e-05
144,1.0,SVM,0.050689091333800514,176.0,CA-LBF II,2.0,2.592381600027757e-05
145,2.0,SVM,0.058117092000857816,176.0,CA-LBF II,2.0,3.317035580077112e-05
146,3.0,SVM,0.061818902318208836,176.0,CA-LBF II,2.0,3.867376889430636e-05
147,4.0,SVM,0.3787014897921648,176.0,CA-LBF II,2.0,4.462236190732584e-05
148,5.0,SVM,0.38366718027734975,208.0,CA-LBF II,2.0,4.056232104162952e-05
149,6.0,SVM,0.38563872415451195,208.0,CA-LBF II,2.0,4.5411056391662474e-05
150,7.0,SVM,0.3877335744424352,208.0,CA-LBF II,2.0,4.8224990432326856e-05
151,8.0,SVM,0.38940190367949995,208.0,CA-LBF II,2.0,5.076531313065432e-05
152,9.0,SVM,0.402936817998114,272.0,CA-LBF II,2.0,5.596145027144783e-05
153,10.0,SVM,0.4176470588235294,272.0,CA-LBF II,2.0,6.0323370221746684e-05
154,0.0,SVM,0.0,28544.0,IA-LBF,2.0,3.0663055546682326e-05
155,1.0,SVM,0.0,32000.0,IA-LBF,2.0,1.213609924949551e-05
156,2.0,SVM,0.0,35904.0,IA-LBF,2.0,1.1266019829081302e-05
157,3.0,SVM,0.0,40544.0,IA-LBF,2.0,1.1016719074170124e-05
158,4.0,SVM,0.0,43744.0,IA-LBF,2.0,1.0390993965117268e-05
159,5.0,SVM,0.0,46144.0,IA-LBF,2.0,8.062702986214666e-06
160,6.0,SVM,0.0,48432.0,IA-LBF,2.0,8.582077502213e-06
161,7.0,SVM,0.0,50736.0,IA-LBF,2.0,8.936979170896407e-06
162,8.0,SVM,0.0,52368.0,IA-LBF,2.0,8.10672736217475e-06
163,9.0,SVM,0.0001347164219318335,54864.0,IA-LBF,2.0,1.0075539412468733e-05
164,10.0,SVM,0.0001278772378516624,57168.0,IA-LBF,2.0,8.691621173692096e-06
165,0.0,SVM,0.0030714102892244687,144.0,LBF,2.0,1.353573823891201e-05
166,1.0,SVM,0.00467180565288484,144.0,LBF,2.0,1.1195780330673788e-05
167,2.0,SVM,0.005790263778683251,144.0,LBF,2.0,1.054186049338693e-05
168,3.0,SVM,0.006934812760055479,144.0,LBF,2.0,1.0279698985246207e-05
169,4.0,SVM,0.008644473054993563,144.0,LBF,2.0,9.460073289040214e-06
170,5.0,SVM,0.009587399417907892,144.0,LBF,2.0,8.114640643487828e-06
171,6.0,SVM,0.010418336271838436,144.0,LBF,2.0,8.330771432349192e-06
172,7.0,SVM,0.011301989150090416,144.0,LBF,2.0,8.472038158012279e-06
173,8.0,SVM,0.012501775820429039,144.0,LBF,2.0,7.656160858217743e-06
174,9.0,SVM,0.015222955678297184,144.0,LBF,2.0,9.728568507331325e-06
175,10.0,SVM,0.017263427109974423,144.0,LBF,2.0,8.510700630299018e-06
176,0.0,NN,0.018428461735346815,144.0,CA-LBF I,2.0,0.0012596729017121026
177,1.0,NN,0.057930390095772014,176.0,CA-LBF I,2.0,7.498709492663625e-05
178,2.0,NN,0.07355779541067982,176.0,CA-LBF I,2.0,6.761639939304209e-05
179,3.0,NN,0.044977214186645534,176.0,CA-LBF I,2.0,9.277005413261192e-05
180,4.0,NN,0.026301269082214456,176.0,CA-LBF I,2.0,0.00018425700080839925
181,5.0,NN,0.025680534155110426,208.0,CA-LBF I,2.0,0.00018793863874253395
182,6.0,NN,0.03141529091200513,208.0,CA-LBF I,2.0,0.00022306908193100514
183,7.0,NN,0.05786618444846293,208.0,CA-LBF I,2.0,0.00022764067144255133
184,8.0,NN,0.05796277880380736,208.0,CA-LBF I,2.0,0.00022420516380896934
185,9.0,NN,0.04930621042705106,272.0,CA-LBF I,2.0,0.00028699153178447003
186,10.0,NN,0.046930946291560104,272.0,CA-LBF I,2.0,0.000358138907228339
187,0.0,NN,0.017660609163040696,144.0,CA-LBF II,2.0,0.001261799407277647
188,1.0,NN,0.11819668301798646,176.0,CA-LBF II,2.0,0.0016330465736230874
189,2.0,NN,0.16770319536778897,176.0,CA-LBF II,2.0,0.0016380978817761686
190,3.0,NN,0.21319595799484842,176.0,CA-LBF II,2.0,0.0015938291905826553
191,4.0,NN,0.25013794371896264,176.0,CA-LBF II,2.0,0.0017536730192508935
192,5.0,NN,0.29241568224619074,208.0,CA-LBF II,2.0,0.001496149791226842
193,6.0,NN,0.3112678313832345,208.0,CA-LBF II,2.0,0.0014441781628900159
194,7.0,NN,0.3271549125979506,208.0,CA-LBF II,2.0,0.0016274640565106873
195,8.0,NN,0.3433726381588294,208.0,CA-LBF II,2.0,0.0014230798534940533
196,9.0,NN,0.3536306075710629,272.0,CA-LBF II,2.0,0.0018026744501506463
197,10.0,NN,0.3649616368286445,272.0,CA-LBF II,2.0,0.001623096188487729
198,0.0,NN,0.0445354491937548,11888.0,IA-LBF,2.0,0.0010997352322809173
199,1.0,NN,0.049521139920579306,13552.0,IA-LBF,2.0,2.5962892904321187e-05
200,2.0,NN,0.0536135535063264,15568.0,IA-LBF,2.0,2.5686881354240957e-05
201,3.0,NN,0.056271052110164456,18304.0,IA-LBF,2.0,2.381415782627723e-05
202,4.0,NN,0.058304211881552326,19600.0,IA-LBF,2.0,2.2002275553976352e-05
203,5.0,NN,0.06197568909433316,21168.0,IA-LBF,2.0,1.916499553379676e-05
204,6.0,NN,0.06299086392050009,22800.0,IA-LBF,2.0,2.020312446070808e-05
205,7.0,NN,0.06359252561784208,24688.0,IA-LBF,2.0,2.1599434517525338e-05
206,8.0,NN,0.06478192925131411,25968.0,IA-LBF,2.0,1.9221692471890838e-05
207,9.0,NN,0.06749292738784858,28208.0,IA-LBF,2.0,2.3330323661439384e-05
208,10.0,NN,0.06892583120204604,29952.0,IA-LBF,2.0,2.0109937989042605e-05
209,0.0,NN,0.05758894292295879,144.0,LBF,2.0,3.2349415162146894e-05
210,1.0,NN,0.06493809857509927,144.0,LBF,2.0,2.5078468797612488e-05
211,2.0,NN,0.06862534848809779,144.0,LBF,2.0,2.37444129722247e-05
212,3.0,NN,0.07390529027144839,144.0,LBF,2.0,2.278282434613873e-05
213,4.0,NN,0.07540923303292257,144.0,LBF,2.0,2.1408702327997357e-05
214,5.0,NN,0.07926724875877418,144.0,LBF,2.0,1.908288457086967e-05
215,6.0,NN,0.0827055617887482,144.0,LBF,2.0,1.9405091378892037e-05
216,7.0,NN,0.08423749246534057,144.0,LBF,2.0,1.949183410517639e-05
217,8.0,NN,0.08580764313112658,144.0,LBF,2.0,1.8640764042146487e-05
218,9.0,NN,0.08904755489694194,144.0,LBF,2.0,2.243712141707137e-05
219,10.0,NN,0.09015345268542199,144.0,LBF,2.0,1.968712915749659e-05
220,0.0,LR,0.0028154594317890964,144.0,CA-LBF I,2.0,3.7030391356407794e-05
