,Batch,Classifier,FPS,Memory,Method,Run,Time
67,1.0,NN,0.9871031746031746,224.0,IA-LBF,1.0,4.0462108257689766e-05
68,2.0,NN,0.9873303167420815,224.0,IA-LBF,1.0,4.1698497501227375e-05
69,3.0,NN,0.9867109634551495,224.0,IA-LBF,1.0,4.094415675095522e-05
70,4.0,NN,0.9853395061728395,224.0,IA-LBF,1.0,4.4616845136131746e-05
71,5.0,NN,0.9863994273443092,224.0,IA-LBF,1.0,3.9917523743676355e-05
72,6.0,NN,0.9872397582269979,224.0,IA-LBF,1.0,4.535164337992017e-05
73,7.0,NN,0.9867172675521821,224.0,IA-LBF,1.0,4.3506150717263695e-05
74,8.0,NN,0.9873798076923077,224.0,IA-LBF,1.0,4.8760529402848125e-05
75,9.0,NN,0.9880681818181818,224.0,IA-LBF,1.0,4.258915618225769e-05
76,10.0,NN,0.9875608436992969,224.0,IA-LBF,1.0,4.603967561826601e-05
77,0.0,NN,0.9944873208379272,144.0,LBF,1.0,7.931657033423855e-05
78,1.0,NN,0.9930555555555556,144.0,LBF,1.0,3.9883650065771216e-05
79,2.0,NN,0.9927601809954751,144.0,LBF,1.0,4.101711544182783e-05
80,3.0,NN,0.9916943521594684,144.0,LBF,1.0,3.965044282173198e-05
81,4.0,NN,0.9907407407407407,144.0,LBF,1.0,4.2894498898031936e-05
82,5.0,NN,0.9914101646385111,144.0,LBF,1.0,3.920226800637167e-05
83,6.0,NN,0.9919408999328408,144.0,LBF,1.0,4.488783455937287e-05
84,7.0,NN,0.9917773561037319,144.0,LBF,1.0,4.300835368397472e-05
85,8.0,NN,0.9921875,144.0,LBF,1.0,5.093118646642664e-05
86,9.0,NN,0.9926136363636363,144.0,LBF,1.0,4.189748030442458e-05
87,10.0,NN,0.9924283396430503,144.0,LBF,1.0,4.4945832137223125e-05
88,0.0,LR,0.4255788313120176,144.0,CA-LBF I,1.0,2.7177497132183754e-05
89,1.0,LR,0.11011904761904762,176.0,CA-LBF I,1.0,4.728114018674757e-05
90,2.0,LR,0.019909502262443438,176.0,CA-LBF I,1.0,6.387663669273502e-05
